CatchId, Stage, Number of Cells, SurfaceArea (m2), BedArea (m2), Volume (m3), SLOPE, LENGTHKM, AREASQKM
83, 1.000000, 4333, 396703.731473, 396953.529766, 241517.705248, 0.0044845730, 11017.700000, 19.557332
83, 2.000000, 7364, 674203.509689, 675206.174262, 781675.274643, 0.0044845730, 11017.700000, 19.557332
83, 5.000000, 17700, 1620500.610048, 1625676.333812, 4129425.367555, 0.0044845730, 11017.700000, 19.557332
83, 10.000000, 44180, 4044843.225527, 4058125.783139, 18016893.289374, 0.0044845730, 11017.700000, 19.557332
12, 0.100000, 910, 83328.049140, 83337.601968, 7732.570142, 0.0108549820, 8462.100000, 9.814150
12, 0.200000, 1174, 107502.131838, 107514.141251, 17158.632901, 0.0108549820, 8462.100000, 9.814150
12, 0.500000, 2252, 206213.461030, 206263.530126, 64750.926190, 0.0108549820, 8462.100000, 9.814150
12, 1.000000, 3904, 357485.800262, 357692.490368, 206883.980632, 0.0108549820, 8462.100000, 9.814150
12, 2.000000, 7285, 667080.344712, 667811.093733, 718745.143369, 0.0108549820, 8462.100000, 9.814150
12, 5.000000, 17295, 1583688.662334, 1586095.853782, 4135762.820409, 0.0108549820, 8462.100000, 9.814150
12, 10.000000, 32683, 2992760.798207, 2998048.313288, 15607390.483387, 0.0108549820, 8462.100000, 9.814150
84, 0.100000, 1511, 138364.327096, 138375.174381, 10872.876625, 0.0059244320, 9557.900000, 11.279170
84, 0.200000, 2245, 205577.633723, 205593.947377, 28299.987513, 0.0059244320, 9557.900000, 11.279170
84, 0.500000, 3983, 364727.962410, 364791.454001, 114944.856931, 0.0059244320, 9557.900000, 11.279170
84, 1.000000, 6477, 593102.549948, 593324.000241, 354573.691376, 0.0059244320, 9557.900000, 11.279170
84, 2.000000, 11064, 1013131.042564, 1013779.809428, 1164339.935903, 0.0059244320, 9557.900000, 11.279170
84, 5.000000, 24631, 2255464.157509, 2257626.998744, 6035549.096017, 0.0059244320, 9557.900000, 11.279170
84, 10.000000, 51857, 4748547.555710, 4753169.811768, 23193908.995558, 0.0059244320, 9557.900000, 11.279170
74, 0.100000, 3538, 323847.792201, 323861.809435, 21436.841168, 0.0029107590, 14205.400000, 56.621668
74, 0.200000, 4390, 401835.148483, 401854.417613, 57873.555576, 0.0029107590, 14205.400000, 56.621668
74, 0.500000, 7264, 664903.475411, 665001.378968, 219128.256629, 0.0029107590, 14205.400000, 56.621668
74, 1.000000, 10782, 986923.911831, 987267.967244, 637450.808721, 0.0029107590, 14205.400000, 56.621668
74, 2.000000, 16691, 1527804.189233, 1529001.417671, 1900146.799313, 0.0029107590, 14205.400000, 56.621668
74, 5.000000, 31610, 2893405.046599, 2899703.537886, 8555424.153363, 0.0029107590, 14205.400000, 56.621668
74, 10.000000, 58057, 5314190.523830, 5334778.835850, 29313644.189942, 0.0029107590, 14205.400000, 56.621668
18, 0.100000, 1350, 123570.948943, 123579.313972, 10651.935812, 0.0082502720, 10916.400000, 12.835120
18, 0.200000, 1917, 175471.776890, 175484.957150, 25468.575935, 0.0082502720, 10916.400000, 12.835120
18, 0.500000, 3718, 340324.883832, 340389.410299, 103285.488209, 0.0082502720, 10916.400000, 12.835120
18, 1.000000, 6707, 613917.941849, 614162.712241, 341962.574992, 0.0082502720, 10916.400000, 12.835120
18, 2.000000, 12294, 1125312.633867, 1126045.930662, 1213075.216692, 0.0082502720, 10916.400000, 12.835120
18, 5.000000, 31600, 2892453.646287, 2894827.448363, 7130324.699810, 0.0082502720, 10916.400000, 12.835120
18, 10.000000, 61657, 5643638.730613, 5648064.336685, 28694333.550395, 0.0082502720, 10916.400000, 12.835120
44, 0.100000, 1746, 159849.803488, 159857.429205, 12179.159478, 0.0061658230, 11439.400000, 13.900166
44, 0.200000, 2711, 248197.640235, 248211.811291, 32696.497801, 0.0061658230, 11439.400000, 13.900166
44, 0.500000, 5278, 483214.348358, 483280.548490, 143628.646021, 0.0061658230, 11439.400000, 13.900166
